Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
railway,18,17,1.57,6.65,1.80,0.94
role,20,20,18.22,6.65,2.58,1.00
roller,20,20,5.75,6.65,2.03,1.00
scab,20,20,0.63,6.65,3.51,1.00
screw,37,37,37.49,6.65,2.53,1.00
shovelful,19,17,0.08,6.65,2.71,0.89
squiggly,20,20,0.31,6.65,3.36,1.00
tantrum,20,20,0.88,6.65,2.80,1.00
thunderbolt,20,20,1.69,6.65,3.00,1.00
unwrapped,20,20,0.39,6.65,3.53,1.00
watery,20,20,0.71,6.65,3.01,1.00
workbook,34,34,0.12,6.65,2.19,1.00
worried,20,20,94.73,6.65,2.39,1.00
lily,22,22,26.86,6.67,4.35,1.00
sudden,22,22,33.47,6.67,1.97,1.00
action,18,18,61.08,6.67,2.83,1.00
appear,18,18,23.37,6.67,3.01,1.00
baptize,18,18,0.73,6.67,2.68,1.00
bedding,18,18,0.75,6.67,2.66,1.00
camper,18,18,1.43,6.67,2.06,1.00
clothesline,21,21,0.41,6.67,2.99,1.00
curved,18,18,0.61,6.67,1.61,1.00
fussy,18,18,1.55,6.67,2.20,1.00
genie,19,18,3.49,6.67,2.17,0.95
handshaking,18,18,0.08,6.67,2.35,1.00
jewelry,18,18,11.06,6.67,3.07,1.00
loser,18,18,27.08,6.67,2.40,1.00
nanny,18,18,10.41,6.67,2.59,1.00
nightstand,18,18,0.84,6.67,2.72,1.00
nutshell,18,18,0.94,6.67,2.74,1.00
panther,21,21,2.57,6.67,1.85,1.00
planet,18,18,38.73,6.67,2.38,1.00
racehorse,18,18,1.16,6.67,3.50,1.00
react,18,18,7.55,6.67,3.80,1.00
scrunch,18,18,0.22,6.67,2.87,1.00
shepherd,18,18,7.43,6.67,2.09,1.00
signal,18,18,37.76,6.67,1.28,1.00
suit,18,18,68.61,6.67,2.20,1.00
swirl,18,18,0.90,6.67,2.54,1.00
teabag,18,18,0.04,6.67,2.97,1.00
toolbox,18,18,1.25,6.67,1.97,1.00
underline,18,18,0.35,6.67,2.28,1.00
western,18,18,13.31,6.67,2.09,1.00
worker,18,18,10.94,6.67,2.52,1.00
further,21,21,52.75,6.68,1.73,1.00
instead,21,21,79.27,6.68,2.21,1.00
weeping,21,21,3.18,6.68,1.95,1.00
barber,19,19,5.47,6.68,1.42,1.00
carousel,19,19,1.43,6.68,2.52,1.00
coyote,19,19,3.63,6.68,2.26,1.00
crumble,19,19,1.39,6.68,1.80,1.00
dial,19,19,8.86,6.68,3.16,1.00
direction,19,19,24.08,6.68,2.16,1.00
exit,19,19,15.57,6.68,2.08,1.00
fabric,19,19,4.80,6.68,2.60,1.00
flop,19,19,2.31,6.68,3.32,1.00
floppy,19,19,1.14,6.68,5.09,1.00
forgiveness,19,19,7.94,6.68,2.29,1.00
grand,19,19,63.02,6.68,2.31,1.00
hang,19,19,147.75,6.68,2.21,1.00
misbehavior,19,19,0.10,6.68,2.03,1.00
office,1928,1927,203.90,6.68,2.48,1.00
olive,19,19,7.35,6.68,2.63,1.00
photograph,19,19,11.35,6.68,2.71,1.00
punish,19,19,9.67,6.68,3.35,1.00
savior,19,19,3.39,6.68,2.77,1.00
scalp,19,19,3.69,6.68,2.71,1.00
schoolgirl,19,19,1.88,6.68,2.11,1.00
scooter,19,19,2.73,6.68,2.94,1.00
single,19,19,72.08,6.68,2.19,1.00
skeleton,19,19,5.12,6.68,2.45,1.00
ski,19,19,8.10,6.68,2.31,1.00
slowdown,19,19,0.29,6.68,2.94,1.00
stocking,19,19,2.63,6.68,2.63,1.00
tide,19,19,7.35,6.68,2.19,1.00
wiggler,37,34,0.16,6.68,2.95,0.92
ninety,20,20,2.78,6.69,1.94,1.00
robin,20,20,24.94,6.69,2.15,1.00
ingredients,22,22,2.14,6.69,1.62,1.00
spices,22,22,2.24,6.69,2.59,1.00
beginner,20,20,1.94,6.70,1.03,1.00
birdseed,20,20,0.35,6.70,2.64,1.00
bullet,20,20,38.24,6.70,2.13,1.00
destroy,20,20,47.18,6.70,2.32,1.00
education,20,20,19.53,6.70,1.92,1.00
grip,20,20,9.69,6.70,2.00,1.00
growth,20,20,6.45,6.70,2.58,1.00
rush,20,20,31.41,6.70,2.05,1.00
shove,20,20,13.22,6.70,3.23,1.00
steady,20,20,22.71,6.70,2.74,1.00
times,20,20,220.02,6.70,2.43,1.00
buffalo,20,19,11.90,6.70,2.08,0.95
barrette,18,17,0.16,6.71,4.50,0.94
evil,21,21,73.16,6.71,2.99,1.00
handstand,21,21,0.14,6.71,2.90,1.00
headache,21,21,14.10,6.71,2.85,1.00
kiddy,18,17,0.35,6.71,3.62,0.94
realness,18,17,0.02,6.71,2.42,0.94
aim,19,18,14.86,6.72,2.11,0.95
album,18,18,10.24,6.72,1.84,1.00
blade,18,18,13.00,6.72,1.99,1.00
blond,18,18,10.45,6.72,3.30,1.00
cactus,18,18,2.90,6.72,2.95,1.00
chuck,18,18,21.49,6.72,2.42,1.00
coleslaw,18,18,1.24,6.72,2.16,1.00
consequence,18,18,3.14,6.72,1.87,1.00
dab,18,18,1.12,6.72,2.40,1.00
fatso,18,18,3.16,6.72,1.78,1.00
fishy,18,18,2.80,6.72,2.87,1.00
getup,19,18,0.84,6.72,2.63,0.95
landing,18,18,16.04,6.72,3.29,1.00
narrator,18,18,10.37,6.72,2.35,1.00
paperweight,18,18,0.41,6.72,3.66,1.00
payback,18,18,3.82,6.72,2.40,1.00
raise,18,18,55.20,6.72,2.72,1.00
rise,18,18,27.43,6.72,2.85,1.00
slippery,18,18,4.41,6.72,2.87,1.00
snakebite,18,18,0.31,6.72,2.14,1.00
toaster,18,18,3.88,6.72,2.30,1.00
false,40,40,#N/A,6.72,2.15,1.00
ray,21,21,97.37,6.73,2.51,1.00
smoking,22,22,26.16,6.73,3.60,1.00
accept,19,19,52.78,6.74,2.08,1.00
basement,19,19,21.06,6.74,3.30,1.00
batch,19,19,4.16,6.74,1.85,1.00
blister,19,19,0.94,6.74,2.51,1.00
case,19,19,282.41,6.74,2.00,1.00
cashier,19,19,3.27,6.74,2.08,1.00
cave,19,19,13.98,6.74,2.49,1.00
checkerboard,19,19,0.10,6.74,2.56,1.00
chewy,19,19,0.69,6.74,2.42,1.00
chop,19,19,13.61,6.74,2.38,1.00
clerk,19,19,12.90,6.74,2.60,1.00
cowgirl,19,19,1.18,6.74,2.05,1.00
darkened,19,19,0.78,6.74,2.42,1.00
daycare,19,19,1.51,6.74,3.48,1.00
doghouse,19,19,1.12,6.74,3.56,1.00
germy,19,19,0.06,6.74,4.39,1.00
gymnast,19,19,0.59,6.74,2.33,1.00
ignore,19,19,18.65,6.74,2.02,1.00
joy,19,19,28.55,6.74,2.92,1.00
laziness,19,19,0.47,6.74,1.79,1.00
log,19,19,11.96,6.74,3.18,1.00
matchstick,19,19,0.02,6.74,2.88,1.00
monopoly,19,19,2.76,6.74,2.05,1.00
postcard,19,19,4.14,6.74,1.97,1.00
seaweed,19,19,1.73,6.74,4.00,1.00
seem,19,19,139.82,6.74,2.08,1.00
sin,19,19,15.94,6.74,2.62,1.00
smooch,19,19,0.47,6.74,3.26,1.00
teatime,19,19,0.45,6.74,2.47,1.00
typewriter,19,19,3.16,6.74,2.08,1.00
untruthful,19,19,0.10,6.74,2.00,1.00
vacuum,19,19,5.76,6.74,3.48,1.00
vocabulary,19,19,2.33,6.74,1.37,1.00
volcano,19,19,3.33,6.74,2.13,1.00
hawk,20,20,12.75,6.74,1.75,1.00
neither,20,20,67.67,6.74,1.34,1.00
then,20,20,1489.53,6.74,3.51,1.00
accidental,20,20,3.00,6.75,3.11,1.00
apron,20,20,2.67,6.75,2.24,1.00
aware,20,20,35.65,6.75,2.69,1.00
bookmarker,20,20,0.02,6.75,2.51,1.00
goopy,20,16,0.10,6.75,3.55,0.80
pause,20,20,5.39,6.75,2.00,1.00
sleeveless,20,20,0.10,6.75,2.20,1.00
spacesuit,20,20,0.12,6.75,2.17,1.00
crier,18,17,0.33,6.76,3.82,0.94
kickable,21,21,0.02,6.76,2.00,1.00
lead,21,21,83.25,6.76,3.42,1.00
mow,18,17,2.29,6.76,2.25,0.94
pregnant,21,21,52.02,6.76,2.05,1.00
sale,21,21,25.39,6.76,1.89,1.00
schoolhouse,18,17,1.12,6.76,2.28,0.94
slurp,21,21,0.43,6.76,3.11,1.00
twinkly,18,17,0.14,6.76,3.36,0.94
unscrew,21,21,0.49,6.76,2.57,1.00
immediately,22,22,47.96,6.77,2.73,1.00
several,22,22,38.78,6.77,2.38,1.00
hotcake,22,22,0.04,6.77,1.72,1.00
tiara,36,35,1.78,6.77,2.20,0.97
crane,21,21,33.61,6.78,2.18,1.00
mike,20,18,111.90,6.78,2.99,0.90
artist,18,18,28.63,6.78,2.29,1.00
attention,19,18,98.67,6.78,2.02,0.95
attitude,18,18,26.08,6.78,3.04,1.00
bedbug,18,18,0.29,6.78,3.14,1.00
butterscotch,18,18,0.49,6.78,3.04,1.00
caller,19,18,4.35,6.78,2.18,0.95
carwash,18,18,0.16,6.78,3.19,1.00
criminal,18,18,34.47,6.78,2.16,1.00
dreadful,18,18,8.00,6.78,2.56,1.00
drippy,18,18,0.20,6.78,2.78,1.00
gunshot,18,18,10.20,6.78,1.90,1.00
hanger,18,18,1.35,6.78,2.92,1.00
hare,19,18,3.82,6.78,2.05,0.95
mall,18,18,18.90,6.78,2.05,1.00
mathematics,18,18,3.06,6.78,1.70,1.00
mealtime,19,18,0.18,6.78,3.19,0.95
motion,18,18,18.96,6.78,1.52,1.00
mousetrap,19,18,0.59,6.78,2.34,0.95
past,18,18,123.76,6.78,1.52,1.00
period,18,18,27.78,6.78,3.51,1.00
plan,18,18,145.73,6.78,2.88,1.00
rattlesnake,18,18,1.69,6.78,2.88,1.00
section,18,18,27.33,6.78,1.80,1.00
slime,18,18,2.76,6.78,2.37,1.00
spice,18,18,5.29,6.78,1.73,1.00
spotty,18,18,0.63,6.78,3.04,1.00
stinging,18,18,0.90,6.78,2.24,1.00
triple,18,18,9.39,6.78,1.44,1.00
unhealthy,18,18,1.63,6.78,2.69,1.00
value,18,18,21.51,6.78,2.58,1.00
weekday,18,18,0.43,6.78,2.62,1.00
wheelbarrow,18,18,0.61,6.78,2.65,1.00
widen,18,18,0.82,6.78,2.02,1.00
workbench,18,18,0.20,6.78,3.08,1.00
wormy,18,18,0.22,6.78,2.16,1.00
asparagus,19,19,0.98,6.79,3.85,1.00
binoculars,19,19,1.57,6.79,2.04,1.00
cuss,19,19,1.06,6.79,2.62,1.00
headlight,19,19,0.73,6.79,2.62,1.00
invite,19,19,29.59,6.79,2.42,1.00
language,19,19,35.10,6.79,2.07,1.00
nervous,19,19,67.16,6.79,2.35,1.00
pastor,19,19,4.29,6.79,3.38,1.00
pound,19,19,13.88,6.79,2.44,1.00
protect,19,19,70.25,6.79,1.75,1.00
raccoon,19,19,1.43,6.79,4.79,1.00
rid,20,19,59.84,6.79,2.30,0.95
shortcake,20,19,0.51,6.79,2.27,0.95
sockless,19,19,0.02,6.79,2.78,1.00
storywriter,19,19,0.02,6.79,2.57,1.00
suds,19,19,0.47,6.79,2.95,1.00
thumbprint,20,19,0.55,6.79,3.24,0.95
tin,19,19,8.65,6.79,2.32,1.00
trampoline,20,19,0.67,6.79,2.07,0.95
turtleneck,19,19,0.82,6.79,1.84,1.00
weed,19,19,11.76,6.79,3.57,1.00
windbreaker,19,19,0.31,6.79,3.41,1.00
wise,19,19,28.47,6.79,2.55,1.00
zucchini,19,19,0.96,6.79,3.82,1.00
during,20,20,75.92,6.80,1.66,1.00
straight,20,20,122.43,6.80,1.69,1.00
breadbox,20,20,0.12,6.80,3.33,1.00
dining,20,20,11.73,6.80,2.61,1.00
dragonfly,20,20,2.84,6.80,2.89,1.00
fruity,20,20,1.29,6.80,3.71,1.00
hamper,20,20,1.41,6.80,3.27,1.00
importance,20,20,7.65,6.80,1.67,1.00
miracle,20,20,26.65,6.80,1.91,1.00
pecan,20,20,0.94,6.80,1.85,1.00
skill,20,20,7.92,6.80,2.76,1.00
tile,20,20,2.12,6.80,2.04,1.00
yardstick,20,20,0.33,6.80,2.17,1.00
zippered,20,20,0.06,6.80,2.35,1.00
fryingpan,22,22,#N/A,6.81,2.04,1.00
gosh,22,22,29.90,6.81,2.13,1.00
sort,22,22,148.71,6.81,2.42,1.00
colorless,21,21,0.25,6.81,3.12,1.00
curb,21,21,4.10,6.81,2.99,1.00
distance,21,21,25.61,6.81,2.54,1.00
girly,21,21,1.33,6.81,2.54,1.00
odor,21,21,2.33,6.81,3.44,1.00
filling,19,19,9.69,6.82,1.50,1.00
nincompoop,18,17,0.82,6.82,2.10,0.94
peg,22,21,36.41,6.83,2.29,0.95
ruby,21,21,11.90,6.83,1.99,1.00
airforce,18,18,#N/A,6.83,2.81,1.00
baggy,18,18,0.94,6.83,2.81,1.00
bonnet,18,18,1.86,6.83,2.28,1.00
deaf,18,18,14.53,6.83,1.50,1.00
difficulty,18,18,5.59,6.83,2.53,1.00
diner,18,18,12.39,6.83,2.23,1.00
housetop,19,18,0.02,6.83,2.73,0.95
manhole,18,18,0.75,6.83,3.01,1.00
manner,18,18,11.53,6.83,2.96,1.00
medal,18,18,11.57,6.83,2.48,1.00
mitt,19,18,1.37,6.83,2.68,0.95
padded,18,18,1.08,6.83,1.86,1.00
shoreline,18,18,0.55,6.83,2.73,1.00
snout,18,18,0.84,6.83,2.62,1.00
tablet,18,18,1.49,6.83,1.92,1.00
toothpick,18,18,1.02,6.83,2.26,1.00
total,18,18,37.65,6.83,2.28,1.00
unclean,18,18,1.27,6.83,3.28,1.00
willow,18,18,6.24,6.83,3.07,1.00
airport,19,19,38.04,6.84,3.08,1.00
aquarium,19,19,2.76,6.84,1.86,1.00
babyish,20,19,0.10,6.84,2.48,0.95
blender,19,19,1.67,6.84,2.61,1.00
bloom,19,19,5.51,6.84,2.09,1.00
buttonhole,19,19,0.22,6.84,2.39,1.00
cocoa,19,19,5.02,6.84,3.83,1.00
company,19,19,147.20,6.84,2.36,1.00
cornmeal,19,19,0.24,6.84,2.22,1.00
creator,19,19,2.78,6.84,3.17,1.00
entrance,19,19,15.69,6.84,1.95,1.00
famous,19,19,45.02,6.84,1.89,1.00
fishhook,19,19,0.04,6.84,3.24,1.00
forkful,19,19,0.02,6.84,3.13,1.00
friendliness,19,19,0.12,6.84,2.50,1.00
gooey,19,19,0.76,6.84,3.17,1.00
hopeful,19,19,2.98,6.84,2.75,1.00
leopard,19,19,5.41,6.84,1.54,1.00
loaf,19,19,4.47,6.84,2.06,1.00
seller,19,19,2.20,6.84,1.95,1.00
snooze,19,19,0.90,6.84,1.68,1.00
stuffy,19,19,3.63,6.84,3.00,1.00
trace,19,19,19.39,6.84,4.21,1.00
unhappiness,19,19,1.16,6.84,2.46,1.00
untangle,19,19,0.29,6.84,2.87,1.00
announcer,20,20,11.25,6.85,2.60,1.00
birthmark,20,20,1.67,6.85,2.48,1.00
border,20,20,17.18,6.85,2.23,1.00
dairy,20,20,2.78,6.85,2.48,1.00
darken,20,20,0.39,6.85,2.50,1.00
dishonesty,20,20,0.57,6.85,1.84,1.00
goofiness,20,20,0.04,6.85,1.95,1.00
holder,20,20,1.61,6.85,3.22,1.00
slot,20,20,5.49,6.85,2.35,1.00
spacecraft,20,20,2.25,6.85,2.08,1.00
woodpile,21,20,0.22,6.85,2.74,0.95
march,20,20,24.02,6.85,2.41,1.00
nearby,20,20,8.33,6.85,1.64,1.00
since,20,20,314.98,6.85,1.76,1.00
hideout,21,21,1.57,6.86,2.20,1.00
location,21,21,24.76,6.86,2.31,1.00
nacho,21,21,1.31,6.86,5.22,1.00
seafood,21,21,2.02,6.86,2.76,1.00
chant,18,17,2.27,6.88,2.76,0.94
cruddy,21,17,0.29,6.88,3.30,0.81
kisser,18,17,3.41,6.88,2.29,0.94
newspaperwoman,18,17,0.16,6.88,2.37,0.94
pipsqueak,18,17,0.43,6.88,2.67,0.94
purplish,18,16,0.02,6.88,2.66,0.89
stickman,18,17,0.04,6.88,2.80,0.94
abracadabra,19,19,1.04,6.89,3.43,1.00
afterschool,18,18,0.10,6.89,3.45,1.00
arise,19,19,2.96,6.89,2.92,1.00
autograph,19,19,8.16,6.89,2.54,1.00
banker,18,18,4.76,6.89,3.16,1.00
barbershop,18,18,2.12,6.89,2.47,1.00
bookshop,19,19,0.80,6.89,1.97,1.00
bootie,18,18,0.16,6.89,4.10,1.00
boyfriend,19,19,72.24,6.89,2.45,1.00
catnip,18,18,0.41,6.89,3.31,1.00
cement,18,18,4.59,6.89,1.94,1.00
checker,18,18,1.10,6.89,3.14,1.00
clicker,21,19,0.41,6.89,4.51,0.90
coach,19,19,47.63,6.89,2.00,1.00
coldness,18,18,0.33,6.89,1.84,1.00
creaky,19,18,0.24,6.89,1.94,0.95
dangle,18,18,1.33,6.89,2.03,1.00
diver,18,18,2.43,6.89,2.17,1.00
dozen,19,19,24.14,6.89,1.66,1.00
factory,19,19,16.80,6.89,2.16,1.00
fighter,18,18,12.78,6.89,4.34,1.00
flour,19,19,3.16,6.89,2.33,1.00
froggy,18,18,0.59,6.89,2.68,1.00
garlic,18,18,6.00,6.89,2.74,1.00
gentleman,19,19,41.86,6.89,2.51,1.00
goal,18,18,16.75,6.89,2.14,1.00
hive,18,18,0.98,6.89,2.56,1.00
huggable,19,18,0.12,6.89,2.32,0.95
hydrant,18,18,1.02,6.89,2.89,1.00
icepack,19,19,#N/A,6.89,2.35,1.00
jawbreaker,18,18,0.12,6.89,2.42,1.00
legged,18,18,0.14,6.89,2.25,1.00
lumpy,19,19,1.75,6.89,2.75,1.00
mannered,18,18,0.14,6.89,3.51,1.00
meadow,19,19,2.27,6.89,1.97,1.00
mower,19,19,1.47,6.89,2.31,1.00
mystery,18,18,22.96,6.89,1.94,1.00
national,18,18,38.16,6.89,2.81,1.00
onstage,18,18,2.04,6.89,1.81,1.00
palace,19,19,19.20,6.89,3.18,1.00
pattern,19,19,14.47,6.89,2.81,1.00
pitchfork,18,18,0.69,6.89,2.37,1.00
player,18,18,37.76,6.89,3.27,1.00
poem,18,18,13.65,6.89,3.86,1.00
politeness,19,19,0.57,6.89,2.88,1.00
porcupine,19,19,0.65,6.89,2.64,1.00
president,18,18,140.67,6.89,3.38,1.00
rascal,18,18,3.94,6.89,4.00,1.00
rear,18,18,12.43,6.89,3.31,1.00
responsibility,19,19,35.41,6.89,2.08,1.00
reusable,18,18,0.02,6.89,1.94,1.00
reverse,18,18,10.98,6.89,1.81,1.00
reward,18,18,18.02,6.89,2.59,1.00
roadway,19,19,0.22,6.89,2.26,1.00
salamander,19,18,0.16,6.89,3.16,0.95
scariness,18,18,0.02,6.89,2.83,1.00
scientist,19,19,12.18,6.89,2.38,1.00
seedling,19,19,0.10,6.89,2.77,1.00
simple,18,18,89.31,6.89,2.25,1.00
sweetness,19,19,3.27,6.89,2.26,1.00
traveler,19,19,3.02,6.89,2.35,1.00
volunteer,18,18,9.31,6.89,2.45,1.00
wafer,19,18,0.29,6.89,2.03,0.95
wander,19,18,5.86,6.89,2.17,0.95
wheelchair,18,18,6.20,6.89,2.14,1.00
whole,19,19,385.49,6.89,2.71,1.00
wrestling,18,18,8.75,6.89,1.75,1.00
youth,19,19,16.82,6.89,2.00,1.00
bar,21,21,85.98,6.90,2.62,1.00
biblical,20,20,2.24,6.90,3.40,1.00
birthplace,20,20,0.80,6.90,1.92,1.00
buttercup,20,20,2.37,6.90,3.04,1.00
dorky,20,20,0.98,6.90,2.47,1.00
energetic,21,21,1.29,6.90,2.98,1.00
grapefruit,20,20,2.47,6.90,2.15,1.00
hoof,21,21,1.73,6.90,2.51,1.00
leader,21,21,31.16,6.90,3.21,1.00
newborn,21,21,2.51,6.90,4.10,1.00
sinker,20,20,0.55,6.90,2.69,1.00
cape,22,22,8.24,6.90,4.52,1.00
greens,22,22,2.14,6.90,3.69,1.00
herself,20,20,52.45,6.90,2.06,1.00
till,20,20,166.73,6.90,1.85,1.00
trainman,20,13,0.14,6.92,2.53,0.65
shore,20,19,19.86,6.93,2.04,0.95
rather,21,21,114.22,6.94,2.36,1.00
actual,18,18,17.33,6.94,2.34,1.00
adorable,18,18,10.53,6.94,2.62,1.00
assembly,18,18,4.80,6.94,1.76,1.00
auditorium,18,18,1.57,6.94,2.69,1.00
autographed,18,18,1.18,6.94,2.01,1.00
bashful,18,18,1.24,6.94,2.96,1.00
buyer,18,18,5.18,6.94,2.04,1.00
cab,18,18,35.80,6.94,2.86,1.00
churchgoer,18,18,0.25,6.94,2.62,1.00
click,18,18,6.41,6.94,2.60,1.00
common,18,18,44.61,6.94,2.62,1.00
compete,18,18,8.47,6.94,2.13,1.00
cutout,18,18,0.29,6.94,2.48,1.00
droopy,18,17,0.51,6.94,2.63,0.94
east,18,18,49.55,6.94,3.56,1.00
errand,19,18,4.00,6.94,2.67,0.95
expression,18,18,12.76,6.94,2.04,1.00
fault,18,18,104.12,6.94,2.84,1.00
favor,19,18,70.76,6.94,2.34,0.95
fishpond,18,18,0.06,6.94,1.95,1.00
frequent,18,18,2.75,6.94,1.95,1.00
gaga,20,17,1.02,6.94,6.25,0.85
gloved,19,18,0.16,6.94,2.46,0.95
golden,18,18,23.27,6.94,3.02,1.00
greased,18,18,1.33,6.94,2.01,1.00
hardened,19,18,1.14,6.94,2.10,0.95
instrument,18,18,8.10,6.94,2.55,1.00
interrupt,18,18,18.73,6.94,2.21,1.00
kerchief,19,16,0.37,6.94,2.52,0.84
longhair,19,16,0.08,6.94,5.37,0.84
maker,18,18,4.92,6.94,2.69,1.00
oldie,18,18,0.45,6.94,2.73,1.00
orphan,18,18,5.75,6.94,2.58,1.00
outgrow,19,18,0.41,6.94,1.80,0.95
puke,18,18,6.25,6.94,3.13,1.00
scout,18,18,12.88,6.94,2.36,1.00
seek,18,18,18.31,6.94,2.31,1.00
skateboard,18,18,1.67,6.94,2.01,1.00
slam,19,18,5.80,6.94,1.95,0.95
soldier,18,18,38.92,6.94,2.48,1.00
squash,18,18,4.37,6.94,3.30,1.00
stencil,18,17,0.18,6.94,2.05,0.94
teenage,18,18,6.86,6.94,2.26,1.00
theater,18,18,24.04,6.94,1.73,1.00
track,18,18,55.75,6.94,2.80,1.00
allowance,20,20,5.20,6.95,2.06,1.00
backbone,19,19,1.65,6.95,2.48,1.00
battle,19,19,42.25,6.95,2.91,1.00
bingo,19,19,12.55,6.95,2.57,1.00
borrow,20,20,29.31,6.95,3.12,1.00
buggy,21,19,2.49,6.95,2.70,0.90
carnival,22,22,7.12,6.95,3.05,1.00
chapel,19,19,7.96,6.95,2.90,1.00
clank,20,20,0.31,6.95,2.74,1.00
cloak,19,19,3.00,6.95,2.41,1.00
confusing,19,19,9.84,6.95,2.07,1.00
cooker,19,19,0.67,6.95,2.59,1.00
cornstalk,19,19,0.04,6.95,3.42,1.00
disappointed,19,19,22.04,6.95,2.68,1.00
enchanted,19,19,2.76,6.95,2.44,1.00
fade,20,20,5.61,6.95,2.67,1.00
film,19,19,65.25,6.95,2.57,1.00
flatness,19,19,0.08,6.95,2.74,1.00
godmother,19,19,1.61,6.95,5.12,1.00
hummingbird,19,19,0.61,6.95,2.91,1.00
interesting,20,20,86.69,6.95,1.96,1.00
kneel,19,19,5.33,6.95,3.72,1.00
maid,19,19,22.82,6.95,1.68,1.00
mash,19,19,4.39,6.95,3.39,1.00
mist,20,19,3.55,6.95,2.61,0.95
nonsense,19,19,28.47,6.95,2.72,1.00
nursery,19,19,4.06,6.95,3.94,1.00
pale,19,19,8.02,6.95,2.66,1.00
pinball,19,19,1.53,6.95,1.93,1.00
prefer,19,19,32.92,6.95,3.14,1.00
recipe,19,19,7.61,6.95,2.34,1.00
recital,19,19,2.94,6.95,2.82,1.00
rodent,19,19,1.80,6.95,2.20,1.00
rotten,21,21,17.47,6.95,2.33,1.00
sag,19,19,0.80,6.95,2.15,1.00
slush,20,20,0.55,6.95,3.30,1.00
stew,19,19,6.43,6.95,3.44,1.00
telescope,19,19,2.94,6.95,2.50,1.00
tighten,19,19,2.86,6.95,3.64,1.00
trim,19,19,4.27,6.95,2.37,1.00
vine,19,19,2.10,6.95,3.36,1.00
weapon,19,19,46.65,6.95,2.37,1.00
wed,20,20,2.45,6.95,1.93,1.00
canopener,22,22,#N/A,6.96,2.41,1.00
enough,20,20,501.33,6.96,2.69,1.00
guts,20,20,23.75,6.96,2.31,1.00
jack,21,20,251.59,6.96,2.91,0.95
seventh,20,20,9.75,6.96,1.96,1.00
yet,20,20,341.73,6.96,1.85,1.00
vendingmachine,22,21,#N/A,6.98,1.81,0.95
animated,19,19,1.20,7.00,2.69,1.00
anthill,18,16,0.57,7.00,2.94,0.89
assignment,19,19,17.88,7.00,2.56,1.00
audience,20,20,25.37,7.00,1.72,1.00
avenue,19,19,16.88,7.00,2.26,1.00
beanpole,19,18,0.20,7.00,2.74,0.95
bet,19,19,171.82,7.00,2.43,1.00
bigmouth,19,19,0.53,7.00,2.16,1.00
blackness,19,19,0.88,7.00,3.07,1.00
blind,19,19,45.82,7.00,2.60,1.00
bloodstain,18,18,0.24,7.00,2.57,1.00
bowling,21,21,10.69,7.00,3.13,1.00
bragger,20,19,0.02,7.00,2.21,0.95
burglar,19,19,5.53,7.00,2.13,1.00
candlelight,18,18,1.67,7.00,2.66,1.00
carton,18,18,1.88,7.00,3.22,1.00
century,19,19,20.84,7.00,1.80,1.00
chainsaw,18,18,1.08,7.00,1.78,1.00
chewer,18,18,0.08,7.00,3.79,1.00
comic,20,20,10.82,7.00,1.62,1.00
dawn,18,18,25.51,7.00,1.94,1.00
decorate,18,18,2.31,7.00,3.16,1.00
detailed,18,18,3.92,7.00,2.43,1.00
dip,21,21,7.96,7.00,2.81,1.00
disappoint,18,18,8.45,7.00,2.22,1.00
drainer,19,16,0.02,7.00,2.61,0.84
drown,18,18,10.59,7.00,2.52,1.00
earmuff,21,21,0.06,7.00,1.79,1.00
easel,18,18,0.27,7.00,1.41,1.00
entry,20,20,12.16,7.00,1.84,1.00
explode,18,18,9.78,7.00,1.81,1.00
feature,18,18,5.84,7.00,2.28,1.00
fibber,19,19,0.16,7.00,3.54,1.00
forgettable,18,18,0.29,7.00,2.22,1.00
gender,18,18,2.80,7.00,2.50,1.00
gentleness,22,22,0.35,7.00,3.64,1.00
goody,18,17,3.55,7.00,3.46,0.94
handrail,18,18,0.12,7.00,2.20,1.00
hatch,20,20,12.82,7.00,3.03,1.00
heck,22,22,18.14,7.00,3.04,1.00
hippopotamus,20,20,0.55,7.00,2.27,1.00
horseback,18,18,1.86,7.00,2.81,1.00
housework,18,18,1.25,7.00,4.83,1.00
illness,20,20,7.27,7.00,1.75,1.00
jumper,19,19,2.29,7.00,3.02,1.00
ladylike,18,18,0.84,7.00,2.59,1.00
lamplight,18,18,0.12,7.00,2.85,1.00
lane,19,19,33.41,7.00,2.85,1.00
likable,20,20,0.84,7.00,1.75,1.00
liquorish,18,13,0.02,7.00,2.74,0.72
manger,19,18,1.00,7.00,2.50,0.95
net,21,21,15.55,7.00,2.90,1.00
niece,19,19,9.53,7.00,2.40,1.00
outfit,19,19,25.10,7.00,2.52,1.00
parachute,18,18,3.18,7.00,2.35,1.00
pliers,19,19,1.16,7.00,1.76,1.00
pout,20,20,1.08,7.00,4.01,1.00
propeller,18,18,1.53,7.00,2.33,1.00
recording,19,19,14.67,7.00,1.49,1.00
replay,18,18,1.20,7.00,2.47,1.00
ridiculous,19,19,55.61,7.00,1.83,1.00
row,19,19,26.33,7.00,3.07,1.00
shallow,20,20,5.90,7.00,2.75,1.00
sherbet,18,17,0.57,7.00,2.18,0.94
shining,19,19,9.82,7.00,3.27,1.00
shirtless,19,19,0.27,7.00,2.65,1.00
