Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,word,word_clean,wn_pos,wn_lexname,wn_lex_clean,wn_level1,wn_level2,wn_level1_name,wn_level2_name
fade,20,20,5.61,6.95,2.67,1,fade,fade,n,noun.act,act,golf_stroke.n.01,stroke.n.01,golf_stroke,stroke
interesting,20,20,86.69,6.95,1.96,1,interesting,interesting,v,verb.emotion,emotion,arouse.v.01,make.v.03,arouse,make
slush,20,20,0.55,6.95,3.3,1,slush,slush,n,noun.substance,substance,water.n.01,binary_compound.n.01,water,binary_compound
wed,20,20,2.45,6.95,1.93,1,wed,wed,n,noun.time,time,weekday.n.01,day_of_the_week.n.01,weekday,day_of_the_week
enough,20,20,501.33,6.96,2.69,1,enough,enough,n,noun.quantity,quantity,relative_quantity.n.01,measure.n.02,relative_quantity,measure
guts,20,20,23.75,6.96,2.31,1,guts,guts,n,noun.attribute,attribute,fortitude.n.01,natural_virtue.n.01,fortitude,natural_virtue
jack,21,20,251.59,6.96,2.91,0.95,jack,jack,n,noun.quantity,quantity,small_indefinite_quantity.n.01,indefinite_quantity.n.01,small_indefinite_quantity,indefinite_quantity
seventh,20,20,9.75,6.96,1.96,1,seventh,seventh,n,noun.relation,relation,rank.n.02,status.n.01,rank,status
yet,20,20,341.73,6.96,1.85,1,yet,yet,r,adv.all,all,NA,NA,NA,NA
audience,20,20,25.37,7,1.72,1,audience,audience,n,noun.group,group,gathering.n.01,social_group.n.01,gathering,social_group
comic,20,20,10.82,7,1.62,1,comic,comic,n,noun.person,person,performer.n.01,entertainer.n.01,performer,entertainer
entry,20,20,12.16,7,1.84,1,entry,entry,n,noun.communication,communication,written_record.n.01,record.n.01,written_record,record
hatch,20,20,12.82,7,3.03,1,hatch,hatch,n,noun.process,process,parturition.n.01,organic_process.n.01,parturition,organic_process
hippopotamus,20,20,0.55,7,2.27,1,hippopotamus,hippopotamus,n,noun.animal,animal,even-toed_ungulate.n.01,ungulate.n.01,even-toed_ungulate,ungulate
illness,20,20,7.27,7,1.75,1,illness,illness,n,noun.state,state,ill_health.n.01,pathological_state.n.01,ill_health,pathological_state
likable,20,20,0.84,7,1.75,1,likable,likable,a,adj.all,all,NA,NA,NA,NA
pout,20,20,1.08,7,4.01,1,pout,pout,n,noun.communication,communication,grimace.n.01,facial_expression.n.01,grimace,facial_expression
shallow,20,20,5.9,7,2.75,1,shallow,shallow,n,noun.object,object,body_of_water.n.01,thing.n.12,body_of_water,thing
talent,20,20,26.12,7,2.03,1,talent,talent,n,noun.cognition,cognition,natural_ability.n.01,aptitude.n.01,natural_ability,aptitude
tuba,20,20,1.2,7,2.03,1,tuba,tuba,n,noun.artifact,artifact,bass.n.07,musical_instrument.n.01,bass,musical_instrument
bud,20,20,35.45,7.01,1.5,1,bud,bud,n,noun.plant,plant,flower.n.02,reproductive_structure.n.01,flower,reproductive_structure
just,20,20,4749.14,7.01,2.48,1,just,just,a,adj.all,all,NA,NA,NA,NA
wherever,20,20,29.41,7.01,1.88,1,wherever,wherever,r,adv.all,all,NA,NA,NA,NA
antenna,20,20,2.39,7.05,2.82,1,antenna,antenna,n,noun.artifact,artifact,electrical_device.n.01,device.n.01,electrical_device,device
bucketful,20,20,0.08,7.05,2.35,1,bucketful,bucketful,n,noun.quantity,quantity,containerful.n.01,indefinite_quantity.n.01,containerful,indefinite_quantity
collie,20,20,1.04,7.05,2.37,1,collie,collie,n,noun.animal,animal,shepherd_dog.n.01,working_dog.n.01,shepherd_dog,working_dog
flatten,20,20,1.24,7.05,2.35,1,flatten,flatten,v,verb.change,change,shape.v.03,change.v.01,shape,change
nakedness,20,20,0.45,7.05,2.95,1,nakedness,nakedness,n,noun.state,state,condition.n.01,state.n.02,condition,state
participate,20,20,4.39,7.05,2.56,1,participate,participate,v,verb.social,social,act.v.01,NA,act,NA
sewer,20,20,4.71,7.05,2.52,1,sewer,sewer,n,noun.artifact,artifact,drain.n.03,pipe.n.02,drain,pipe
sporty,20,20,0.75,7.05,2.16,1,sporty,sporty,a,adj.all,all,NA,NA,NA,NA
volleyball,20,20,1.14,7.05,2.21,1,volleyball,volleyball,n,noun.act,act,court_game.n.01,athletic_game.n.01,court_game,athletic_game
ashes,20,20,9.86,7.06,1.88,1,ashes,ashes,n,noun.substance,substance,residue.n.01,matter.n.03,residue,matter
while,20,20,349.43,7.06,2.04,1,while,while,n,noun.time,time,time.n.03,time_period.n.01,time,time_period
applaud,20,20,2.14,7.1,2.25,1,applaud,applaud,v,verb.communication,communication,gesticulate.v.01,communicate.v.02,gesticulate,communicate
author,20,20,7.94,7.1,2.43,1,author,author,n,noun.person,person,communicator.n.01,person.n.01,communicator,person
gold,20,20,78.94,7.1,2.13,1,gold,gold,n,noun.possession,possession,precious_metal.n.01,valuable.n.01,precious_metal,valuable
musketeer,20,20,0.43,7.1,2.29,1,musketeer,musketeer,n,noun.person,person,infantryman.n.01,soldier.n.01,infantryman,soldier
priest,20,20,26.2,7.1,1.86,1,priest,priest,n,noun.person,person,holy_order.n.01,status.n.01,holy_order,status
stupidity,20,20,3.2,7.1,3.74,1,stupidity,stupidity,n,noun.cognition,cognition,inability.n.01,cognition.n.01,inability,cognition
sugary,20,20,0.29,7.1,2.13,1,sugary,sugary,a,adj.all,all,NA,NA,NA,NA
sum,20,20,10.25,7.1,1.29,1,sum,sum,n,noun.possession,possession,assets.n.01,possession.n.02,assets,possession
washtub,20,20,0.1,7.1,3.8,1,washtub,washtub,n,noun.artifact,artifact,tub.n.02,vessel.n.03,tub,vessel
ago,20,20,286.12,7.12,2.28,1,ago,ago,a,adj.all,all,NA,NA,NA,NA
awhile,20,20,9.47,7.12,1.93,1,awhile,awhile,r,adv.all,all,NA,NA,NA,NA
eskimo,20,20,1.65,7.12,1.79,1,eskimo,eskimo,n,noun.person,person,indian.n.01,amerindian.n.01,indian,amerindian
hazel,21,20,1.08,7.12,2.21,0.95,hazel,hazel,n,noun.plant,plant,tree.n.01,woody_plant.n.01,tree,woody_plant
lighter,21,20,8.96,7.12,2.08,0.95,lighter,lighter,n,noun.substance,substance,fuel.n.01,substance.n.07,fuel,substance
army,20,20,85.69,7.15,2.08,1,army,army,n,noun.group,group,military_service.n.01,force.n.04,military_service,force
cafeteria,20,20,5.67,7.15,2.74,1,cafeteria,cafeteria,n,noun.artifact,artifact,restaurant.n.01,building.n.01,restaurant,building
classmate,20,20,1.53,7.15,2.41,1,classmate,classmate,n,noun.person,person,acquaintance.n.03,person.n.01,acquaintance,person
duty,20,20,50.96,7.15,2.06,1,duty,duty,n,noun.act,act,social_control.n.01,group_action.n.01,social_control,group_action
headstand,20,20,0.06,7.15,2.16,1,headstand,headstand,n,noun.act,act,acrobatic_stunt.n.01,stunt.n.01,acrobatic_stunt,stunt
mumble,20,20,0.78,7.15,2.01,1,mumble,mumble,n,noun.communication,communication,utterance.n.01,auditory_communication.n.01,utterance,auditory_communication
navy,20,20,25.69,7.15,1.57,1,navy,navy,n,noun.group,group,military_service.n.01,force.n.04,military_service,force
plop,20,20,0.84,7.15,4.18,1,plop,plop,n,noun.event,event,noise.n.01,sound.n.04,noise,sound
roach,20,20,2.65,7.15,2.83,1,roach,roach,n,noun.body,body,hairdo.n.01,hair.n.01,hairdo,hair
forth,20,20,15.76,7.17,2.6,1,forth,forth,n,noun.object,object,NA,NA,NA,NA
bearded,20,20,1.27,7.2,2.65,1,bearded,bearded,v,verb.stative,stative,rim.v.01,line.v.01,rim,line
damage,20,20,33.06,7.2,2.09,1,damage,damage,n,noun.event,event,change.n.01,happening.n.01,change,happening
decide,20,20,50.41,7.2,2.57,1,decide,decide,v,verb.cognition,cognition,NA,NA,NA,NA
excitement,20,20,12.31,7.2,2.35,1,excitement,excitement,n,noun.feeling,feeling,joy.n.01,emotion.n.01,joy,emotion
mansion,20,20,6.45,7.2,2.17,1,mansion,mansion,n,noun.location,location,region.n.01,location.n.01,region,location
messiness,20,20,0.02,7.2,2.75,1,messiness,messiness,n,noun.state,state,disorderliness.n.01,condition.n.01,disorderliness,condition
newness,20,20,0.25,7.2,2.71,1,newness,newness,n,noun.attribute,attribute,age.n.01,property.n.02,age,property
newscast,20,20,0.53,7.2,2.19,1,newscast,newscast,n,noun.communication,communication,broadcast.n.01,message.n.01,broadcast,message
replace,20,20,13.35,7.2,2.33,1,replace,replace,v,verb.change,change,regenerate.v.01,re-create.v.01,regenerate,re-create
shouter,20,20,0.04,7.2,2.38,1,shouter,shouter,n,noun.person,person,communicator.n.01,person.n.01,communicator,person
soot,20,20,1.08,7.2,2.8,1,soot,soot,n,noun.substance,substance,carbon.n.01,chemical_element.n.01,carbon,chemical_element
werewolf,20,20,4.45,7.2,2.5,1,werewolf,werewolf,n,noun.person,person,mythical_monster.n.01,monster.n.01,mythical_monster,monster
barely,20,20,29.06,7.22,1.33,1,barely,barely,r,adv.all,all,NA,NA,NA,NA
beside,20,20,15.18,7.22,3.46,1,beside,beside,NA,NA,NA,NA,NA,NA,NA
unless,20,20,113.69,7.22,2.51,1,unless,unless,NA,NA,NA,NA,NA,NA,NA
wateringcan,21,20,#N/A,7.22,2.38,0.95,wateringcan,wateringcan,NA,NA,NA,NA,NA,NA,NA
congratulations,20,20,70.9,7.25,2.17,1,congratulations,congratulations,n,noun.communication,communication,approval.n.04,message.n.02,approval,message
coupon,20,20,2.18,7.25,2.97,1,coupon,coupon,n,noun.communication,communication,commercial_document.n.01,document.n.01,commercial_document,document
dreamer,20,20,3.04,7.25,3.06,1,dreamer,dreamer,n,noun.person,person,sleeper.n.01,rester.n.01,sleeper,rester
leather,20,20,13.59,7.25,1.86,1,leather,leather,n,noun.substance,substance,animal_skin.n.01,animal_product.n.01,animal_skin,animal_product
mini,20,20,3.61,7.25,2.99,1,mini,mini,n,noun.artifact,artifact,skirt.n.02,garment.n.01,skirt,garment
repairman,20,20,1.06,7.25,2.29,1,repairman,repairman,n,noun.person,person,mender.n.01,skilled_worker.n.01,mender,skilled_worker
swat,21,20,3.84,7.25,5.11,0.95,swat,swat,n,noun.act,act,blow.n.01,stroke.n.12,blow,stroke
wart,20,20,1.24,7.25,1.97,1,wart,wart,n,noun.shape,shape,bulge.n.01,projection.n.05,bulge,projection
weasel,20,20,4.9,7.25,3.26,1,weasel,weasel,n,noun.person,person,person.n.01,causal_agent.n.01,person,causal_agent
whiner,20,20,0.27,7.25,3.01,1,whiner,whiner,n,noun.person,person,unpleasant_person.n.01,unwelcome_person.n.01,unpleasant_person,unwelcome_person
carol,20,20,28.73,7.28,2.33,1,carol,carol,n,noun.communication,communication,religious_song.n.01,religious_music.n.01,religious_song,religious_music
cliff,20,20,21.57,7.28,1.51,1,cliff,cliff,n,noun.object,object,geological_formation.n.01,object.n.01,geological_formation,object
belief,20,20,7.61,7.3,3.36,1,belief,belief,n,noun.cognition,cognition,content.n.05,cognition.n.01,content,cognition
bummer,20,20,4.16,7.3,2.41,1,bummer,bummer,n,noun.state,state,irritation.n.01,psychological_state.n.01,irritation,psychological_state
electronic,20,20,6.86,7.3,2.03,1,electronic,electronic,a,adj.pert,pert,NA,NA,NA,NA
fin,21,20,3.41,7.3,3.36,0.95,fin,fin,n,noun.quantity,quantity,digit.n.01,integer.n.01,digit,integer
lifesaver,20,20,1.22,7.3,2.49,1,lifesaver,lifesaver,n,noun.person,person,attendant.n.01,assistant.n.01,attendant,assistant
nervousness,20,20,0.59,7.3,1.72,1,nervousness,nervousness,n,noun.feeling,feeling,anxiety.n.02,emotion.n.01,anxiety,emotion
subject,20,20,36.96,7.3,2.18,1,subject,subject,n,noun.communication,communication,message.n.02,communication.n.02,message,communication
trot,20,20,1.8,7.3,2.23,1,trot,trot,n,noun.act,act,locomotion.n.02,motion.n.06,locomotion,motion
actually,20,20,322.33,7.33,1.87,1,actually,actually,r,adv.all,all,NA,NA,NA,NA
japan,21,20,15.51,7.33,1.81,0.95,japan,japan,n,noun.location,location,NA,NA,NA,NA
aging,20,20,2.57,7.35,2.58,1,aging,aging,n,noun.process,process,organic_process.n.01,process.n.06,organic_process,process
anklebone,20,20,0.02,7.35,2.16,1,anklebone,anklebone,n,noun.body,body,bone.n.01,connective_tissue.n.01,bone,connective_tissue
extinguisher,20,20,1.53,7.35,2.13,1,extinguisher,extinguisher,n,noun.artifact,artifact,device.n.01,instrumentality.n.03,device,instrumentality
handy,20,20,12.22,7.35,2.43,1,handy,handy,n,noun.person,person,NA,NA,NA,NA
highness,20,20,15.82,7.35,2.06,1,highness,highness,n,noun.person,person,aristocrat.n.01,leader.n.01,aristocrat,leader
hurricane,20,20,8.76,7.35,2.16,1,hurricane,hurricane,n,noun.phenomenon,phenomenon,cyclone.n.02,windstorm.n.01,cyclone,windstorm
nearness,20,20,0.02,7.35,2.62,1,nearness,nearness,n,noun.attribute,attribute,distance.n.01,spacing.n.02,distance,spacing
notice,20,20,59.25,7.35,2.56,1,notice,notice,n,noun.communication,communication,announcement.n.02,statement.n.01,announcement,statement
oak,20,20,5.61,7.35,1.79,1,oak,oak,n,noun.plant,plant,wood.n.01,plant_material.n.01,wood,plant_material
playable,20,20,0.06,7.35,1.6,1,playable,playable,a,adj.all,all,NA,NA,NA,NA
price,20,20,53.37,7.35,2.78,1,price,price,n,noun.attribute,attribute,value.n.02,worth.n.02,value,worth
raft,20,20,4.71,7.35,1.95,1,raft,raft,n,noun.artifact,artifact,float.n.06,artifact.n.01,float,artifact
sinner,20,20,2.47,7.35,2.64,1,sinner,sinner,n,noun.person,person,wrongdoer.n.01,bad_person.n.01,wrongdoer,bad_person
spine,20,20,5.75,7.35,2.03,1,spine,spine,n,noun.body,body,skeletal_structure.n.01,structure.n.04,skeletal_structure,structure
starter,20,20,2.73,7.35,2.6,1,starter,starter,n,noun.artifact,artifact,electric_motor.n.01,motor.n.01,electric_motor,motor
takeoff,20,20,2.45,7.35,2.11,1,takeoff,takeoff,n,noun.act,act,departure.n.01,act.n.02,departure,act
tyrannosaurus,20,20,0.39,7.35,3.66,1,tyrannosaurus,tyrannosaurus,n,noun.animal,animal,theropod.n.01,saurischian.n.01,theropod,saurischian
unplug,20,20,0.86,7.35,2.18,1,unplug,unplug,v,verb.contact,contact,undo.v.01,change_by_reversal.v.01,undo,change_by_reversal
suddenly,20,20,55.96,7.38,1.77,1,suddenly,suddenly,r,adv.all,all,NA,NA,NA,NA
discussion,20,20,12.14,7.4,2.7,1,discussion,discussion,n,noun.communication,communication,communication.n.01,act.n.02,communication,act
flavorings,20,20,0.1,7.4,2.41,1,flavorings,flavorings,n,noun.food,food,ingredient.n.03,foodstuff.n.02,ingredient,foodstuff
flow,20,20,13.75,7.4,1.9,1,flow,flow,n,noun.event,event,change_of_location.n.01,movement.n.03,change_of_location,movement
glory,20,20,21.49,7.4,2.82,1,glory,glory,n,noun.state,state,honor.n.02,standing.n.01,honor,standing
harvest,20,20,3.82,7.4,2.33,1,harvest,harvest,n,noun.plant,plant,output.n.02,production.n.07,output,production
sissy,21,20,7.29,7.4,2.46,0.95,sissy,sissy,n,noun.person,person,coward.n.01,person.n.01,coward,person
surf,20,20,6.35,7.4,1.67,1,surf,surf,n,noun.event,event,wave.n.01,movement.n.03,wave,movement
wiener,20,20,2.22,7.4,3.75,1,wiener,wiener,n,noun.person,person,NA,NA,NA,NA
make-up,20,20,#N/A,7.44,2.78,1,make-up,make_up,v,verb.stative,stative,NA,NA,NA,NA
palmtree,20,20,#N/A,7.44,2.09,1,palmtree,palmtree,NA,NA,NA,NA,NA,NA,NA
upwards,20,20,0.9,7.44,2.26,1,upwards,upwards,r,adv.all,all,NA,NA,NA,NA
division,20,20,18.55,7.45,1.88,1,division,division,n,noun.group,group,army_unit.n.01,military_unit.n.01,army_unit,military_unit
eggnog,20,20,1.55,7.45,3.25,1,eggnog,eggnog,n,noun.food,food,punch.n.02,mixed_drink.n.01,punch,mixed_drink
filth,20,20,4.53,7.45,2.82,1,filth,filth,n,noun.substance,substance,waste.n.01,material.n.01,waste,material
homeless,20,20,10.65,7.45,2.11,1,homeless,homeless,n,noun.person,person,unfortunate.n.01,person.n.01,unfortunate,person
nutty,20,20,3.57,7.45,2.8,1,nutty,nutty,a,adj.all,all,NA,NA,NA,NA
ooze,21,20,0.53,7.45,2.87,0.95,ooze,ooze,n,noun.substance,substance,matter.n.03,physical_entity.n.01,matter,physical_entity
plural,20,20,0.96,7.45,1.43,1,plural,plural,n,noun.communication,communication,form.n.01,word.n.01,form,word
rainforest,20,20,0.47,7.45,2.37,1,rainforest,rainforest,n,noun.group,group,forest.n.01,vegetation.n.01,forest,vegetation
rare,20,20,21.31,7.45,2.42,1,rare,rare,a,adj.all,all,NA,NA,NA,NA
seasoning,20,20,0.53,7.45,1.9,1,seasoning,seasoning,n,noun.food,food,ingredient.n.03,foodstuff.n.02,ingredient,foodstuff
slideshow,20,20,0.06,7.45,1.85,1,slideshow,slideshow,NA,NA,NA,NA,NA,NA,NA
teaspoonful,20,20,0.12,7.45,2.7,1,teaspoonful,teaspoonful,n,noun.quantity,quantity,containerful.n.01,indefinite_quantity.n.01,containerful,indefinite_quantity
violin,20,20,4.75,7.45,2.19,1,violin,violin,n,noun.artifact,artifact,bowed_stringed_instrument.n.01,stringed_instrument.n.01,bowed_stringed_instrument,stringed_instrument
weekly,20,20,4.65,7.45,1.93,1,weekly,weekly,n,noun.communication,communication,series.n.03,periodical.n.01,series,periodical
exactly,20,20,247.2,7.49,1.78,1,exactly,exactly,r,adv.all,all,NA,NA,NA,NA
saint,20,20,17.92,7.49,1.78,1,saint,saint,n,noun.person,person,deity.n.01,spiritual_being.n.01,deity,spiritual_being
violet,20,20,8.04,7.49,1.86,1,violet,violet,n,noun.plant,plant,viola.n.01,herb.n.01,viola,herb
blabbermouth,21,20,0.55,7.5,2.89,0.95,blabbermouth,blabbermouth,n,noun.person,person,gossip.n.03,communicator.n.01,gossip,communicator
butler,20,20,9.96,7.5,2.59,1,butler,butler,n,noun.person,person,manservant.n.01,servant.n.01,manservant,servant
charge,20,20,89.39,7.5,3.2,1,charge,charge,n,noun.act,act,attack.n.01,operation.n.05,attack,operation
chorus,20,20,6.08,7.5,1.99,1,chorus,chorus,n,noun.event,event,sound.n.04,happening.n.01,sound,happening
housekeeping,20,20,3,7.5,2.37,1,housekeeping,housekeeping,n,noun.act,act,work.n.01,activity.n.01,work,activity
hymn,21,20,1.63,7.5,2.21,0.95,hymn,hymn,n,noun.communication,communication,religious_song.n.01,religious_music.n.01,religious_song,religious_music
quart,20,20,2.08,7.5,1.79,1,quart,quart,n,noun.quantity,quantity,united_states_liquid_unit.n.01,liquid_unit.n.01,united_states_liquid_unit,liquid_unit
reminder,20,20,3.76,7.5,2.26,1,reminder,reminder,n,noun.communication,communication,message.n.02,communication.n.02,message,communication
shipbuilder,20,20,0.04,7.5,2.31,1,shipbuilder,shipbuilder,n,noun.person,person,wright.n.07,craftsman.n.03,wright,craftsman
sturdy,20,20,1.69,7.5,2.09,1,sturdy,sturdy,a,adj.all,all,NA,NA,NA,NA
unchain,20,20,0.18,7.5,2.48,1,unchain,unchain,v,verb.contact,contact,unfasten.v.01,undo.v.01,unfasten,undo
cosy,22,20,2.02,7.54,3.53,0.91,cosy,cosy,n,noun.artifact,artifact,cloth_covering.n.01,covering.n.02,cloth_covering,covering
mars,20,20,10.49,7.54,1.73,1,mars,mars,n,noun.object,object,NA,NA,NA,NA
argument,20,20,17,7.55,2.93,1,argument,argument,n,noun.communication,communication,evidence.n.02,indication.n.01,evidence,indication
challenge,20,20,19.86,7.55,2.42,1,challenge,challenge,n,noun.state,state,situation.n.01,state.n.02,situation,state
dungeon,20,20,2.57,7.55,1.79,1,dungeon,dungeon,n,noun.artifact,artifact,stronghold.n.01,defensive_structure.n.01,stronghold,defensive_structure
flick,20,20,5.04,7.55,3.1,1,flick,flick,n,noun.event,event,contact.n.04,happening.n.01,contact,happening
gelatin,21,20,0.49,7.55,2.61,0.95,gelatin,gelatin,n,noun.substance,substance,scleroprotein.n.01,simple_protein.n.01,scleroprotein,simple_protein
godlike,20,20,0.41,7.55,3.52,1,godlike,godlike,a,adj.all,all,NA,NA,NA,NA
harp,20,20,2.63,7.55,3.59,1,harp,harp,n,noun.artifact,artifact,chordophone.n.01,stringed_instrument.n.01,chordophone,stringed_instrument
kidnapper,20,20,4.04,7.55,1.96,1,kidnapper,kidnapper,n,noun.person,person,captor.n.01,person.n.01,captor,person
motherhood,20,20,1.14,7.55,1.93,1,motherhood,motherhood,n,noun.relation,relation,kinship.n.02,relation.n.01,kinship,relation
necessary,20,20,45.98,7.55,2.01,1,necessary,necessary,n,noun.object,object,thing.n.12,physical_entity.n.01,thing,physical_entity
tiring,20,20,1.18,7.55,2.65,1,tiring,tiring,v,verb.body,body,devolve.v.03,worsen.v.01,devolve,worsen
doe,20,20,4.33,7.6,2.22,1,doe,doe,n,noun.group,group,executive_department.n.01,federal_department.n.01,executive_department,federal_department
perhaps,20,20,136.06,7.6,1.97,1,perhaps,perhaps,r,adv.all,all,NA,NA,NA,NA
